iter	Passed	Remaining
0	113	113538
1	114	57354
2	116	38565
3	117	29176
4	118	23574
5	119	19784
6	120	17095
7	121	15100
8	123	13551
9	124	12291
10	125	11269
11	126	10423
12	127	9703
13	129	9092
14	130	8553
15	131	8080
16	132	7680
17	133	7301
18	134	6961
19	135	6663
20	137	6394
21	138	6149
22	139	5925
23	140	5713
24	141	5513
25	142	5333
26	143	5167
27	144	5019
28	145	4874
29	146	4742
30	147	4620
31	148	4504
32	150	4398
33	151	4301
34	152	4205
35	153	4122
36	155	4037
37	156	3956
38	157	3874
39	158	3796
40	159	3722
41	160	3652
42	161	3584
43	161	3519
44	162	3458
45	164	3401
46	165	3348
47	166	3295
48	167	3246
49	168	3196
50	169	3149
51	170	3104
52	171	3060
53	172	3016
54	173	2976
55	174	2939
56	175	2901
57	176	2866
58	177	2832
59	178	2800
60	180	2771
61	181	2738
62	182	2712
63	183	2686
64	184	2658
65	185	2630
66	186	2602
67	187	2576
68	189	2553
69	190	2526
70	191	2504
71	192	2481
72	193	2459
73	195	2440
74	196	2422
75	197	2404
76	198	2383
77	200	2365
78	201	2345
79	202	2329
80	203	2311
81	204	2293
82	205	2274
83	206	2256
84	208	2241
85	209	2227
86	210	2213
87	212	2198
88	213	2184
89	214	2171
90	215	2156
91	217	2142
92	218	2127
93	219	2112
94	219	2095
95	221	2083
96	222	2072
97	223	2060
98	225	2049
99	226	2038
100	227	2027
101	229	2018
102	230	2008
103	231	1995
104	232	1984
105	233	1972
106	235	1961
107	236	1951
108	237	1942
109	238	1931
110	239	1916
111	240	1906
112	241	1897
113	242	1888
114	244	1879
115	245	1869
116	246	1859
117	247	1849
118	248	1839
119	249	1829
120	250	1821
121	252	1813
122	253	1806
123	254	1798
124	255	1790
125	256	1781
126	257	1772
127	258	1764
128	259	1755
129	260	1746
130	261	1737
131	262	1729
132	264	1721
133	265	1714
134	266	1707
135	267	1700
136	268	1692
137	269	1685
138	270	1678
139	272	1671
140	273	1664
141	274	1657
142	275	1650
143	276	1643
144	277	1636
145	278	1628
146	279	1622
147	280	1615
148	281	1609
149	283	1605
150	284	1599
151	285	1594
152	286	1588
153	288	1582
154	289	1576
155	290	1571
156	291	1564
157	292	1558
158	293	1554
159	295	1549
160	296	1543
161	297	1539
162	298	1534
163	300	1529
164	301	1526
165	302	1521
166	303	1515
167	305	1511
168	306	1505
169	307	1499
170	308	1494
171	309	1490
172	310	1485
173	311	1480
174	313	1476
175	314	1471
176	315	1465
177	316	1461
178	317	1456
179	319	1453
180	319	1447
181	320	1440
182	321	1434
183	322	1430
184	323	1426
185	324	1421
186	326	1418
187	327	1414
188	328	1411
189	330	1407
190	331	1402
191	332	1398
192	333	1393
193	334	1388
194	335	1384
195	336	1379
196	337	1376
197	338	1372
198	339	1368
199	341	1364
200	342	1361
201	343	1357
202	345	1354
203	346	1350
204	347	1347
205	348	1343
206	349	1339
207	350	1335
208	351	1331
209	353	1328
210	354	1325
211	355	1322
212	356	1318
213	358	1315
214	359	1313
215	360	1309
216	361	1305
217	363	1302
218	364	1298
219	365	1294
220	366	1290
221	367	1288
222	368	1284
223	369	1281
224	371	1278
225	372	1275
226	373	1273
227	374	1269
228	376	1265
229	377	1262
230	378	1259
231	379	1256
232	380	1254
233	382	1250
234	383	1248
235	384	1244
236	386	1243
237	387	1240
238	388	1237
239	390	1235
240	391	1233
241	392	1230
242	394	1227
243	395	1225
244	396	1223
245	398	1220
246	399	1217
247	400	1214
248	402	1212
249	403	1210
250	404	1207
251	406	1206
252	407	1204
253	409	1203
254	411	1201
255	412	1199
256	414	1197
257	416	1196
258	417	1194
259	419	1193
260	420	1191
261	422	1191
262	425	1192
263	427	1191
264	429	1191
265	431	1189
266	432	1187
267	433	1184
268	434	1181
269	436	1180
270	438	1180
271	440	1180
272	444	1183
273	447	1186
274	450	1187
275	452	1187
276	456	1192
277	458	1190
278	459	1188
279	461	1186
280	463	1186
281	465	1184
282	467	1185
283	471	1189
284	475	1191
285	477	1191
286	479	1190
287	481	1189
288	482	1187
289	484	1186
290	486	1185
291	488	1184
292	490	1182
293	491	1181
294	493	1179
295	495	1178
296	497	1177
297	500	1178
298	502	1178
299	504	1178
300	507	1178
301	509	1178
302	511	1177
303	513	1175
304	514	1173
305	516	1171
306	518	1170
307	520	1169
308	522	1167
309	523	1166
310	525	1164
311	527	1162
312	529	1161
313	530	1159
314	532	1158
315	534	1156
316	536	1154
317	538	1154
318	539	1152
319	541	1151
320	543	1150
321	545	1148
322	546	1146
323	548	1144
324	550	1143
325	552	1141
326	554	1141
327	556	1139
328	557	1137
329	559	1136
330	561	1134
331	562	1131
332	564	1130
333	565	1128
334	567	1126
335	569	1125
336	571	1123
337	572	1121
338	574	1119
339	575	1117
340	577	1115
341	578	1112
342	579	1110
343	581	1109
344	583	1107
345	584	1105
346	586	1102
347	587	1100
348	589	1098
349	590	1096
350	592	1094
351	593	1092
352	595	1090
353	596	1088
354	597	1086
355	599	1084
356	600	1082
357	602	1081
358	604	1079
359	605	1077
360	607	1074
361	608	1072
362	609	1070
363	611	1068
364	612	1066
365	614	1064
366	615	1062
367	617	1060
368	619	1058
369	620	1056
370	621	1054
371	623	1052
372	624	1050
373	626	1048
374	627	1046
375	629	1044
376	630	1042
377	632	1041
378	640	1049
379	641	1047
380	643	1044
381	644	1043
382	646	1041
383	648	1039
384	650	1038
385	651	1036
386	652	1034
387	654	1032
388	656	1030
389	657	1028
390	659	1027
391	661	1025
392	664	1025
393	666	1025
394	668	1024
395	670	1022
396	672	1021
397	673	1019
398	675	1017
399	676	1015
400	679	1014
401	680	1012
402	682	1011
403	684	1009
404	685	1007
405	687	1005
406	688	1003
407	690	1001
408	691	999
409	694	998
410	695	997
411	697	996
412	699	994
413	701	993
414	703	991
415	704	989
416	706	987
417	708	986
418	710	984
419	712	983
420	714	982
421	716	980
422	717	978
423	719	976
424	720	974
425	722	973
426	724	971
427	725	969
428	727	967
429	728	965
430	730	963
431	731	961
432	733	960
433	734	958
434	736	956
435	737	954
436	739	952
437	740	950
438	741	948
439	743	946
440	745	944
441	746	942
442	747	940
443	749	937
