iter	Passed	Remaining
0	104	104750
1	106	52944
2	107	35837
3	109	27169
4	111	22095
5	112	18610
6	113	16071
7	114	14198
8	115	12757
9	117	11681
10	119	10731
11	120	9932
12	121	9257
13	123	8679
14	124	8171
15	125	7720
16	126	7337
17	128	6995
18	129	6682
19	131	6434
20	132	6183
21	134	5959
22	135	5749
23	136	5552
24	137	5366
25	138	5201
26	140	5047
27	141	4903
28	142	4764
29	143	4638
30	144	4526
31	146	4425
32	147	4321
33	148	4222
34	149	4128
35	150	4041
36	152	3957
37	153	3879
38	154	3809
39	155	3739
40	156	3671
41	158	3615
42	160	3568
43	161	3510
44	162	3454
45	164	3401
46	165	3352
47	166	3300
48	167	3250
49	168	3204
50	169	3162
51	171	3118
52	172	3078
53	173	3042
54	175	3008
55	176	2973
56	177	2937
57	178	2903
58	180	2871
59	181	2839
60	182	2807
61	183	2774
62	184	2742
63	185	2715
64	186	2688
65	188	2669
66	189	2644
67	190	2617
68	192	2591
69	193	2568
70	194	2544
71	195	2521
72	196	2497
73	197	2475
74	198	2453
75	200	2433
76	201	2417
77	203	2401
78	204	2383
79	205	2366
80	207	2350
81	208	2329
82	208	2305
83	209	2289
84	211	2273
85	212	2257
86	213	2240
87	214	2223
88	216	2212
89	217	2202
90	219	2188
91	220	2174
92	221	2161
93	222	2148
94	224	2135
95	225	2122
96	226	2107
97	227	2094
98	228	2080
99	229	2068
100	231	2059
101	247	2178
102	248	2168
103	250	2155
104	251	2142
105	252	2128
106	253	2114
107	254	2101
108	255	2088
109	256	2077
110	257	2064
111	258	2051
112	259	2039
113	261	2030
114	262	2022
115	264	2013
116	265	2001
117	266	1991
118	267	1980
119	268	1969
120	269	1959
121	270	1946
122	271	1935
123	272	1925
124	273	1915
125	274	1905
126	275	1895
127	277	1887
128	278	1879
129	279	1870
130	280	1861
131	281	1852
132	282	1843
133	283	1834
134	285	1826
135	286	1818
136	287	1810
137	288	1802
138	289	1794
139	290	1786
140	292	1779
141	292	1769
142	293	1760
143	294	1753
144	296	1746
145	297	1738
146	298	1730
147	299	1723
148	300	1716
149	301	1709
150	302	1702
151	303	1695
152	304	1688
153	306	1681
154	307	1675
155	308	1669
156	309	1662
157	310	1656
158	311	1649
159	313	1643
160	313	1634
161	315	1629
162	316	1623
163	317	1616
164	318	1609
165	319	1602
166	320	1597
167	321	1592
168	322	1586
169	323	1580
170	324	1575
171	326	1569
172	327	1564
173	328	1558
174	329	1553
175	330	1548
176	331	1543
177	333	1538
178	334	1534
179	335	1529
180	336	1524
181	338	1519
182	339	1513
183	340	1508
184	341	1503
185	342	1500
186	344	1495
187	345	1491
188	346	1486
189	347	1481
190	348	1478
191	350	1473
192	351	1468
193	352	1464
194	353	1459
195	354	1455
196	356	1451
197	357	1447
198	358	1442
199	359	1438
200	360	1434
201	362	1430
202	363	1426
203	364	1422
204	365	1417
205	366	1413
206	367	1409
207	368	1404
208	370	1401
209	371	1397
210	372	1393
211	373	1388
212	374	1384
213	375	1379
214	377	1377
215	378	1374
216	379	1370
217	380	1365
218	381	1361
219	382	1357
220	383	1353
221	384	1349
222	386	1344
223	387	1341
224	388	1336
225	389	1333
226	390	1330
227	391	1327
228	393	1323
229	394	1319
230	395	1315
231	396	1312
232	397	1308
233	398	1304
234	399	1301
235	400	1297
236	401	1293
237	402	1289
238	403	1285
239	404	1282
240	406	1279
241	407	1276
242	408	1272
243	409	1269
244	410	1266
245	412	1263
246	413	1260
247	414	1257
248	415	1253
249	416	1250
250	418	1247
251	419	1243
252	420	1241
253	421	1238
254	422	1235
255	423	1232
256	425	1229
257	426	1225
258	427	1223
259	428	1220
260	429	1217
261	430	1214
262	432	1210
263	433	1207
264	434	1205
265	435	1202
266	437	1199
267	438	1196
268	439	1193
269	440	1190
270	441	1187
271	442	1184
272	443	1182
273	444	1178
274	446	1175
275	447	1173
276	448	1170
277	449	1168
278	451	1165
279	452	1163
280	453	1160
281	455	1158
282	456	1155
283	456	1152
284	458	1149
285	459	1146
286	460	1144
287	461	1141
288	463	1139
289	464	1137
290	465	1134
291	467	1132
292	468	1129
293	469	1126
294	470	1124
295	471	1121
296	472	1118
297	473	1115
298	474	1113
299	475	1110
300	477	1108
301	478	1106
302	479	1103
303	480	1101
304	482	1098
305	483	1095
306	484	1093
307	485	1090
308	486	1087
309	487	1085
310	488	1083
311	490	1080
312	491	1078
313	492	1076
314	493	1074
315	495	1072
316	496	1069
317	497	1066
318	498	1064
319	499	1061
320	500	1059
321	502	1057
322	503	1054
323	504	1053
324	506	1051
325	507	1049
326	508	1047
327	510	1045
328	511	1042
329	512	1040
330	513	1037
331	514	1035
332	516	1033
333	517	1031
334	518	1028
335	519	1026
336	520	1024
337	522	1023
338	523	1020
339	524	1018
340	525	1016
341	526	1013
342	527	1011
343	529	1009
344	530	1006
345	531	1004
346	532	1002
347	533	999
348	534	997
349	536	995
350	537	993
351	538	991
352	539	989
353	540	986
354	541	984
355	543	982
356	544	980
357	545	977
358	546	975
359	547	973
360	548	971
361	550	970
362	551	968
363	553	966
364	554	964
365	555	962
366	557	960
367	558	958
368	559	956
369	560	954
370	561	952
371	563	951
372	564	949
373	566	947
374	567	945
375	568	943
376	569	941
377	571	939
378	572	937
379	573	935
380	574	933
381	575	931
382	576	929
383	578	927
384	579	926
385	581	924
386	582	923
387	584	921
388	585	919
389	586	917
390	587	915
391	589	913
392	590	912
393	591	910
394	593	908
395	594	907
396	596	905
